question,text
"In her music, what are some recurring elements in them?","love, relationships, and monogamy"
Time magazine named her one of the most 100 what people of the century?,influential
Which magazine declared her the most dominant woman musician?,Forbes
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s
What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes
How did Beyonce describe herself as a feminist?,modern-day feminist
In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014
How many records has Beyonce sold in her 19 year career?,118 million
How many records did Beyoncé sell as part of Destiny's Child?,60 million
"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million
How many Grammy awards has Beyoncé won?,20
What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes
