question,text
What accolade did Twilight Princess receive after its release?,Game of the Year
Under which brand was Twilight Princess for the Nintendo Wii published?,Nintendo Selects
When is the HD version of Twilight Princess slated for launch?,March 2016
At the time of release which episode of the Legend of Zelda series was considered the greatest entry?,Twilight Princess
How many Game of the Year awards did Twilight Princess receive?,several
What year was Twilight Princess the most critically acclaimed game?,2006
What year will the game release a high-definition port for the Wii U console?,2016
What accolade did Radar Princess receive after its release?,
Under which brand was Radar Princess for the Nintendo Wii published?,
When is the HD version of Radar Princess slated for launch?,
At the time of release what episode of Legend of Radar series was considered the greatest story? ,
How many Game of the Year awards did Radar Princess receive?,
